name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maribyrnong,2015-01-19,22.2,11,16.8,22.2,11,16.8,7.9,57.1,0,0,0,,0,0,41.4,27.7,166.9,1015.2,61.4,10,363.5,31.5,10,,2015-01-19T06:18:58,2015-01-19T20:42:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-20,30.2,9.8,20.9,29.2,9.2,20.8,11.8,60.1,0,0,0,,0,0,56.5,40.7,12.1,1006,52.2,10,234.2,20.2,7,,2015-01-20T06:20:03,2015-01-20T20:42:02,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-21,33.1,18.7,25.7,32,18.7,25.3,14.4,53.4,0.087,100,4.17,rain,0,0,41.8,25.9,81.6,1007.6,55.3,10,302.2,26.2,10,,2015-01-21T06:21:09,2015-01-21T20:41:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-01-22,35.4,17.1,24.4,34.4,17.1,24.3,15.9,65.2,0,0,0,,0,0,50.8,27.7,307.5,1009.1,45.9,9.8,325.9,28.1,10,,2015-01-22T06:22:15,2015-01-22T20:40:58,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-23,25.9,17.1,22.2,25.9,17.1,22.2,14.6,63.5,0,0,0,,0,0,47.9,31.7,192.8,1005.6,34.6,10,344.7,29.9,10,,2015-01-23T06:23:22,2015-01-23T20:40:23,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-24,28.6,13.1,20.7,28.1,13.1,20.6,13.3,64.9,0,0,0,,0,0,40,24.6,194.9,1004.1,4.8,10,364.8,31.5,10,,2015-01-24T06:24:29,2015-01-24T20:39:46,0.12,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-01-25,21.4,13.4,17.1,21.4,13.4,17.1,8.3,59.2,0,0,0,,0,0,52.6,35.3,243.2,1007.5,51.4,10,261.2,22.6,9,,2015-01-25T06:25:36,2015-01-25T20:39:08,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-26,20.1,9.7,14.6,20.1,8.2,14.5,7.3,63.5,0.26,100,8.33,rain,0,0,48.2,35.3,180.5,1015.4,56.1,10,216.9,18.6,6,,2015-01-26T06:26:43,2015-01-26T20:38:27,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-01-27,19.5,12.6,15.9,19.5,12.6,15.9,8.1,60.4,0,0,0,,0,0,55.1,29.5,167.4,1016.4,63.7,10,345.8,29.7,10,,2015-01-27T06:27:51,2015-01-27T20:37:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-28,24.2,13.5,18.5,24.2,13.5,18.5,8.8,55.3,0,0,0,,0,0,54,38.9,145.1,1017,41.1,10,331.5,28.7,10,,2015-01-28T06:28:59,2015-01-28T20:37:01,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-29,21.7,11.8,16.8,21.7,11.8,16.8,8.9,61.1,0,0,0,,0,0,51.1,42.5,155.1,1018.5,36.9,10,227.7,19.9,7,,2015-01-29T06:30:07,2015-01-29T20:36:15,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
